[2025-04-10 19:51:29] Cliente0-Loja1 - Comprou veículo ID: 1 | Tipo: Utilitário Esportivo | Cor: Vermelho | Estação: 0 | Funcionário: 0 | Loja: Loja1 | Posição na esteira da loja: 0
[2025-04-10 19:51:29] Cliente1-Loja1 - Comprou veículo ID: 2 | Tipo: Sedan Tradicional | Cor: Verde | Estação: 1 | Funcionário: 4 | Loja: Loja1 | Posição na esteira da loja: 1
[2025-04-10 19:51:29] Cliente2-Loja1 - Comprou veículo ID: 5 | Tipo: Utilitário Esportivo | Cor: Verde | Estação: 2 | Funcionário: 2 | Loja: Loja1 | Posição na esteira da loja: 2
[2025-04-10 19:51:29] Cliente3-Loja1 - Comprou veículo ID: 3 | Tipo: Utilitário Esportivo | Cor: Azul | Estação: 3 | Funcionário: 3 | Loja: Loja1 | Posição na esteira da loja: 3
[2025-04-10 19:51:29] Cliente4-Loja1 - Comprou veículo ID: 4 | Tipo: Sedan Tradicional | Cor: Vermelho | Estação: 0 | Funcionário: 2 | Loja: Loja1 | Posição na esteira da loja: 4
[2025-04-10 19:51:29] Cliente5-Loja1 - Comprou veículo ID: 7 | Tipo: Utilitário Esportivo | Cor: Vermelho | Estação: 1 | Funcionário: 1 | Loja: Loja1 | Posição na esteira da loja: 5
[2025-04-10 19:51:29] Cliente6-Loja1 - Comprou veículo ID: 8 | Tipo: Sedan Tradicional | Cor: Verde | Estação: 2 | Funcionário: 0 | Loja: Loja1 | Posição na esteira da loja: 6
[2025-04-10 19:51:30] Cliente7-Loja1 - Comprou veículo ID: 6 | Tipo: Sedan Tradicional | Cor: Azul | Estação: 0 | Funcionário: 0 | Loja: Loja1 | Posição na esteira da loja: 7
[2025-04-10 19:51:30] Cliente8-Loja1 - Comprou veículo ID: 9 | Tipo: Utilitário Esportivo | Cor: Azul | Estação: 3 | Funcionário: 1 | Loja: Loja1 | Posição na esteira da loja: 8
[2025-04-10 19:51:31] Cliente9-Loja1 - Comprou veículo ID: 10 | Tipo: Sedan Tradicional | Cor: Vermelho | Estação: 1 | Funcionário: 4 | Loja: Loja1 | Posição na esteira da loja: 9
[2025-04-10 19:51:31] Cliente10-Loja1 - Comprou veículo ID: 11 | Tipo: Utilitário Esportivo | Cor: Verde | Estação: 0 | Funcionário: 2 | Loja: Loja1 | Posição na esteira da loja: 10
[2025-04-10 19:51:35] Cliente11-Loja1 - Comprou veículo ID: 12 | Tipo: Sedan Tradicional | Cor: Azul | Estação: 2 | Funcionário: 2 | Loja: Loja1 | Posição na esteira da loja: 11
[2025-04-10 19:51:35] Cliente12-Loja1 - Comprou veículo ID: 13 | Tipo: Utilitário Esportivo | Cor: Vermelho | Estação: 3 | Funcionário: 3 | Loja: Loja1 | Posição na esteira da loja: 12
[2025-04-10 19:51:38] Cliente13-Loja1 - Comprou veículo ID: 14 | Tipo: Sedan Tradicional | Cor: Verde | Estação: 2 | Funcionário: 0 | Loja: Loja1 | Posição na esteira da loja: 13
[2025-04-10 19:51:40] Cliente14-Loja1 - Comprou veículo ID: 15 | Tipo: Utilitário Esportivo | Cor: Azul | Estação: 0 | Funcionário: 0 | Loja: Loja1 | Posição na esteira da loja: 14
[2025-04-10 19:51:42] Cliente15-Loja1 - Comprou veículo ID: 16 | Tipo: Sedan Tradicional | Cor: Vermelho | Estação: 2 | Funcionário: 2 | Loja: Loja1 | Posição na esteira da loja: 15
[2025-04-10 19:51:42] Cliente16-Loja1 - Comprou veículo ID: 17 | Tipo: Utilitário Esportivo | Cor: Verde | Estação: 1 | Funcionário: 1 | Loja: Loja1 | Posição na esteira da loja: 16
[2025-04-10 19:51:42] Cliente17-Loja1 - Comprou veículo ID: 18 | Tipo: Sedan Tradicional | Cor: Azul | Estação: 3 | Funcionário: 1 | Loja: Loja1 | Posição na esteira da loja: 17
[2025-04-10 19:51:44] Cliente18-Loja1 - Comprou veículo ID: 19 | Tipo: Utilitário Esportivo | Cor: Vermelho | Estação: 1 | Funcionário: 4 | Loja: Loja1 | Posição na esteira da loja: 18
[2025-04-10 19:51:45] Cliente19-Loja1 - Comprou veículo ID: 20 | Tipo: Sedan Tradicional | Cor: Verde | Estação: 0 | Funcionário: 2 | Loja: Loja1 | Posição na esteira da loja: 19
[2025-04-10 19:51:46] Cliente3-Loja1 - Comprou veículo ID: 21 | Tipo: Utilitário Esportivo | Cor: Azul | Estação: 3 | Funcionário: 3 | Loja: Loja1 | Posição na esteira da loja: 20
[2025-04-10 19:51:46] Cliente0-Loja1 - Comprou veículo ID: 22 | Tipo: Sedan Tradicional | Cor: Vermelho | Estação: 0 | Funcionário: 0 | Loja: Loja1 | Posição na esteira da loja: 21
[2025-04-10 19:51:50] Cliente2-Loja1 - Comprou veículo ID: 23 | Tipo: Utilitário Esportivo | Cor: Verde | Estação: 1 | Funcionário: 3 | Loja: Loja1 | Posição na esteira da loja: 22
[2025-04-10 19:51:51] Cliente6-Loja1 - Comprou veículo ID: 24 | Tipo: Sedan Tradicional | Cor: Azul | Estação: 2 | Funcionário: 4 | Loja: Loja1 | Posição na esteira da loja: 23
[2025-04-10 19:51:52] Cliente5-Loja1 - Comprou veículo ID: 25 | Tipo: Utilitário Esportivo | Cor: Vermelho | Estação: 0 | Funcionário: 2 | Loja: Loja1 | Posição na esteira da loja: 24
[2025-04-10 19:51:55] Cliente1-Loja1 - Comprou veículo ID: 26 | Tipo: Sedan Tradicional | Cor: Verde | Estação: 2 | Funcionário: 1 | Loja: Loja1 | Posição na esteira da loja: 25
[2025-04-10 19:51:56] Cliente7-Loja1 - Comprou veículo ID: 27 | Tipo: Utilitário Esportivo | Cor: Azul | Estação: 3 | Funcionário: 1 | Loja: Loja1 | Posição na esteira da loja: 26
[2025-04-10 19:51:56] Cliente4-Loja1 - Comprou veículo ID: 28 | Tipo: Sedan Tradicional | Cor: Vermelho | Estação: 3 | Funcionário: 3 | Loja: Loja1 | Posição na esteira da loja: 27
[2025-04-10 19:52:00] Cliente8-Loja1 - Comprou veículo ID: 29 | Tipo: Utilitário Esportivo | Cor: Verde | Estação: 0 | Funcionário: 0 | Loja: Loja1 | Posição na esteira da loja: 28
[2025-04-10 19:52:03] Cliente10-Loja1 - Comprou veículo ID: 31 | Tipo: Utilitário Esportivo | Cor: Vermelho | Estação: 0 | Funcionário: 2 | Loja: Loja1 | Posição na esteira da loja: 29
[2025-04-10 19:52:03] Cliente9-Loja1 - Comprou veículo ID: 30 | Tipo: Sedan Tradicional | Cor: Azul | Estação: 1 | Funcionário: 3 | Loja: Loja1 | Posição na esteira da loja: 30
[2025-04-10 19:52:03] Cliente11-Loja1 - Comprou veículo ID: 32 | Tipo: Sedan Tradicional | Cor: Verde | Estação: 3 | Funcionário: 3 | Loja: Loja1 | Posição na esteira da loja: 31
[2025-04-10 19:52:04] Cliente12-Loja1 - Comprou veículo ID: 33 | Tipo: Utilitário Esportivo | Cor: Azul | Estação: 3 | Funcionário: 1 | Loja: Loja1 | Posição na esteira da loja: 32
