[Loja Loja1] [2025-04-10T19:38:04.550161900] Veiculo ID: 1, Cor: RED, Tipo: SUV, Estacao: 0, Funcionario: 0, Posicao na esteira: 0
[Loja Loja1] [2025-04-10T19:38:04.584845200] Veiculo ID: 2, Cor: GREEN, Tipo: SEDAN, Estacao: 2, Funcionario: 0, Posicao na esteira: 1
[Loja Loja1] [2025-04-10T19:38:06.486780800] Veiculo ID: 4, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 2, Posicao na esteira: 2
[Loja Loja1] [2025-04-10T19:38:06.487779100] Veiculo ID: 3, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 0, Posicao na esteira: 3
[Loja Loja1] [2025-04-10T19:38:08.497890700] Veiculo ID: 5, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 2, Posicao na esteira: 4
[Loja Loja1] [2025-04-10T19:38:08.502889700] Veiculo ID: 6, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 2, Posicao na esteira: 5
[Loja Loja1] [2025-04-10T19:38:10.008849900] Veiculo ID: 7, Cor: RED, Tipo: SUV, Estacao: 0, Funcionario: 2, Posicao na esteira: 6
[Loja Loja1] [2025-04-10T19:38:10.522172900] Veiculo ID: 8, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 0, Posicao na esteira: 7
[Loja Loja1] [2025-04-10T19:38:11.037192] Veiculo ID: 9, Cor: BLUE, Tipo: SUV, Estacao: 2, Funcionario: 0, Posicao na esteira: 8
[Loja Loja1] [2025-04-10T19:38:14.046878400] Veiculo ID: 10, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 2, Posicao na esteira: 9
[Loja Loja1] [2025-04-10T19:38:16.551762100] Veiculo ID: 12, Cor: BLUE, Tipo: SEDAN, Estacao: 0, Funcionario: 0, Posicao na esteira: 10
[Loja Loja1] [2025-04-10T19:38:16.555268300] Veiculo ID: 11, Cor: GREEN, Tipo: SUV, Estacao: 3, Funcionario: 2, Posicao na esteira: 11
[Loja Loja1] [2025-04-10T19:38:17.059476700] Veiculo ID: 13, Cor: RED, Tipo: SUV, Estacao: 0, Funcionario: 2, Posicao na esteira: 12
[Loja Loja1] [2025-04-10T19:38:18.063233800] Veiculo ID: 14, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 0, Posicao na esteira: 13
[Loja Loja1] [2025-04-10T19:38:20.067173800] Veiculo ID: 15, Cor: BLUE, Tipo: SUV, Estacao: 1, Funcionario: 2, Posicao na esteira: 14
[Loja Loja1] [2025-04-10T19:38:21.070964700] Veiculo ID: 16, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 0, Posicao na esteira: 15
[Loja Loja1] [2025-04-10T19:38:21.071940200] Veiculo ID: 17, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 2, Posicao na esteira: 16
[Loja Loja1] [2025-04-10T19:38:21.577140100] Veiculo ID: 18, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 0, Posicao na esteira: 17
[Loja Loja1] [2025-04-10T19:38:22.081564200] Veiculo ID: 19, Cor: RED, Tipo: SUV, Estacao: 3, Funcionario: 2, Posicao na esteira: 18
[Loja Loja1] [2025-04-10T19:38:23.587954600] Veiculo ID: 20, Cor: GREEN, Tipo: SEDAN, Estacao: 0, Funcionario: 1, Posicao na esteira: 19
[Loja Loja1] [2025-04-10T19:38:26.091925600] Veiculo ID: 21, Cor: BLUE, Tipo: SUV, Estacao: 1, Funcionario: 0, Posicao na esteira: 20
[Loja Loja1] [2025-04-10T19:38:26.594946700] Veiculo ID: 22, Cor: RED, Tipo: SEDAN, Estacao: 2, Funcionario: 2, Posicao na esteira: 21
[Loja Loja1] [2025-04-10T19:38:27.099425400] Veiculo ID: 23, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 4, Posicao na esteira: 22
[Loja Loja1] [2025-04-10T19:38:30.609546800] Veiculo ID: 24, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 0, Posicao na esteira: 23
[Loja Loja1] [2025-04-10T19:38:32.614749100] Veiculo ID: 26, Cor: GREEN, Tipo: SEDAN, Estacao: 0, Funcionario: 3, Posicao na esteira: 24
[Loja Loja1] [2025-04-10T19:38:32.618749500] Veiculo ID: 25, Cor: RED, Tipo: SUV, Estacao: 3, Funcionario: 2, Posicao na esteira: 25
[Loja Loja1] [2025-04-10T19:38:36.124930600] Veiculo ID: 27, Cor: BLUE, Tipo: SUV, Estacao: 2, Funcionario: 2, Posicao na esteira: 26
[Loja Loja1] [2025-04-10T19:38:36.627695400] Veiculo ID: 29, Cor: GREEN, Tipo: SUV, Estacao: 1, Funcionario: 0, Posicao na esteira: 27
[Loja Loja1] [2025-04-10T19:38:36.629856300] Veiculo ID: 28, Cor: RED, Tipo: SEDAN, Estacao: 2, Funcionario: 4, Posicao na esteira: 28
[Loja Loja1] [2025-04-10T19:38:38.132756600] Veiculo ID: 30, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 2, Posicao na esteira: 29
[Loja Loja1] [2025-04-10T19:38:41.639131400] Veiculo ID: 31, Cor: RED, Tipo: SUV, Estacao: 2, Funcionario: 4, Posicao na esteira: 30
[Loja Loja1] [2025-04-10T19:38:44.645162300] Veiculo ID: 32, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 2, Posicao na esteira: 31
[Loja Loja1] [2025-04-10T19:38:46.149744300] Veiculo ID: 33, Cor: BLUE, Tipo: SUV, Estacao: 2, Funcionario: 2, Posicao na esteira: 32
[Loja Loja1] [2025-04-10T19:38:46.654151600] Veiculo ID: 34, Cor: RED, Tipo: SEDAN, Estacao: 0, Funcionario: 3, Posicao na esteira: 33
[Loja Loja1] [2025-04-10T19:38:46.656384200] Veiculo ID: 35, Cor: GREEN, Tipo: SUV, Estacao: 1, Funcionario: 4, Posicao na esteira: 34
[Loja Loja1] [2025-04-10T19:38:51.164100800] Veiculo ID: 36, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 4, Posicao na esteira: 35
[Loja Loja1] [2025-04-10T19:38:52.170470400] Veiculo ID: 37, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 3, Posicao na esteira: 36
[Loja Loja1] [2025-04-10T19:38:56.177203900] Veiculo ID: 38, Cor: GREEN, Tipo: SEDAN, Estacao: 2, Funcionario: 2, Posicao na esteira: 37
[Loja Loja1] [2025-04-10T19:38:58.184809900] Veiculo ID: 39, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 2, Posicao na esteira: 38
[Loja Loja1] [2025-04-10T19:39:04.195428500] Veiculo ID: 40, Cor: RED, Tipo: SEDAN, Estacao: 2, Funcionario: 4, Posicao na esteira: 39
[Loja Loja1] [2025-04-10T19:51:29.262126400] Veiculo ID: 1, Cor: RED, Tipo: SUV, Estacao: 0, Funcionario: 0, Posicao na esteira: 0
[Loja Loja1] [2025-04-10T19:51:29.300457100] Veiculo ID: 2, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 4, Posicao na esteira: 1
[Loja Loja1] [2025-04-10T19:51:29.302824800] Veiculo ID: 5, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 2, Posicao na esteira: 2
