[Loja Loja3] [2025-04-10T19:54:38.427517500] Veiculo ID: 4, Cor: RED, Tipo: SEDAN, Estacao: 2, Funcionario: 0, Posicao na esteira: 0
[Loja Loja3] [2025-04-10T19:54:39.872603700] Veiculo ID: 5, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 0, Posicao na esteira: 1
[Loja Loja3] [2025-04-10T19:54:45.379176200] Veiculo ID: 8, Cor: GREEN, Tipo: SEDAN, Estacao: 0, Funcionario: 3, Posicao na esteira: 2
[Loja Loja3] [2025-04-10T19:54:46.885645500] Veiculo ID: 10, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 4, Posicao na esteira: 3
[Loja Loja3] [2025-04-10T19:54:46.888659300] Veiculo ID: 11, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 0, Posicao na esteira: 4
[Loja Loja3] [2025-04-10T19:54:58.406809300] Veiculo ID: 16, Cor: RED, Tipo: SEDAN, Estacao: 0, Funcionario: 3, Posicao na esteira: 5
[Loja Loja3] [2025-04-10T19:55:00.413160800] Veiculo ID: 18, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 2, Posicao na esteira: 6
[Loja Loja3] [2025-04-10T19:55:13.936554400] Veiculo ID: 20, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 2, Posicao na esteira: 7
[Loja Loja3] [2025-04-10T19:55:21.947992] Veiculo ID: 21, Cor: BLUE, Tipo: SUV, Estacao: 1, Funcionario: 2, Posicao na esteira: 8
[Loja Loja3] [2025-04-10T19:55:27.460583500] Veiculo ID: 22, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 1, Posicao na esteira: 9
[Loja Loja3] [2025-04-10T19:56:01.003305600] Veiculo ID: 26, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 0, Posicao na esteira: 10
[Loja Loja3] [2025-04-10T19:56:15.519574600] Veiculo ID: 27, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 4, Posicao na esteira: 11
[Loja Loja3] [2025-04-10T19:56:24.533027200] Veiculo ID: 28, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 12
[Loja Loja3] [2025-04-10T19:56:33.047230500] Veiculo ID: 29, Cor: GREEN, Tipo: SUV, Estacao: 3, Funcionario: 4, Posicao na esteira: 13
[Loja Loja3] [2025-04-10T19:57:07.337692600] Veiculo ID: 32, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 14
[Loja Loja3] [2025-04-10T19:58:08.413164400] Veiculo ID: 38, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 15
[Loja Loja3] [2025-04-10T19:58:20.928691] Veiculo ID: 39, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 4, Posicao na esteira: 16
[Loja Loja3] [2025-04-10T19:58:34.942472600] Veiculo ID: 41, Cor: GREEN, Tipo: SUV, Estacao: 3, Funcionario: 4, Posicao na esteira: 17
[Loja Loja3] [2025-04-10T19:58:45.458198500] Veiculo ID: 42, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 18
[Loja Loja3] [2025-04-10T19:58:52.970000800] Veiculo ID: 43, Cor: RED, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 19
[Loja Loja3] [2025-04-10T20:28:33.956265200] Veiculo ID: 18, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 1, Posicao na esteira: 0
[Loja Loja3] [2025-04-10T20:28:35.879222300] Veiculo ID: 20, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 2, Posicao na esteira: 1
[Loja Loja3] [2025-04-10T20:28:37.384470800] Veiculo ID: 21, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 2
[Loja Loja3] [2025-04-10T20:28:39.890670500] Veiculo ID: 22, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 1, Posicao na esteira: 3
[Loja Loja3] [2025-04-10T20:28:40.895239] Veiculo ID: 23, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 4, Posicao na esteira: 4
[Loja Loja3] [2025-04-10T20:28:43.901035900] Veiculo ID: 24, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 3, Posicao na esteira: 5
